Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Year,Case_Closure_Days
9973,,,20-02-2021 05:02,Visakhapatnam,372,VANDALISM,41,F,Explosives,Other Crime,6,Yes,2021-05-01,2021,68.0
9974,,,19-02-2021 19:33,Nagpur,153,ARSON,51,M,,Fire Accident,10,No,,2021,
9975,,,20-02-2021 07:40,Chennai,285,SEXUAL ASSAULT,63,M,Blunt Object,Violent Crime,1,Yes,2022-02-10,2021,355.0
9976,,,20-02-2021 00:43,Delhi,187,TRAFFIC VIOLATION,13,M,Explosives,Traffic Fatality,8,Yes,2021-03-09,2021,15.0
9977,,,19-02-2021 20:23,Delhi,311,SHOPLIFTING,23,M,Firearm,Other Crime,10,Yes,2021-03-13,2021,20.0
9978,,,19-02-2021 18:12,Visakhapatnam,198,ASSAULT,29,M,Explosives,Violent Crime,13,No,,2021,
9979,,,20-02-2021 11:11,Delhi,371,SEXUAL ASSAULT,72,F,Poison,Violent Crime,10,Yes,2022-05-12,2021,446.0
9980,,,19-02-2021 20:16,Delhi,151,EXTORTION,10,F,Poison,Other Crime,9,No,,2021,
9981,,,19-02-2021 20:41,Delhi,267,DRUG OFFENSE,57,M,Other,Other Crime,15,Yes,2021-04-26,2021,65.0
9982,,,20-02-2021 01:41,Delhi,543,VEHICLE - STOLEN,42,F,Other,Violent Crime,9,No,,2021,
9983,,,20-02-2021 01:48,Ghaziabad,560,PUBLIC INTOXICATION,52,F,Knife,Other Crime,6,No,,2021,
9984,,,20-02-2021 07:47,Delhi,561,ARSON,77,M,Explosives,Fire Accident,17,No,,2021,
9985,,,20-02-2021 15:37,Chennai,327,SEXUAL ASSAULT,64,F,,Violent Crime,2,Yes,2021-10-29,2021,250.0
9986,,,21-02-2021 00:25,Pune,527,VEHICLE - STOLEN,40,M,Knife,Violent Crime,2,No,,2021,
9987,,,20-02-2021 22:21,Bangalore,593,COUNTERFEITING,15,F,Other,Other Crime,8,Yes,2021-05-05,2021,72.0
9988,,,20-02-2021 20:33,Delhi,299,ILLEGAL POSSESSION,32,F,Other,Other Crime,10,Yes,2021-03-31,2021,39.0
9989,,,20-02-2021 19:18,Hyderabad,495,FIREARM OFFENSE,11,M,Other,Fire Accident,10,No,,2021,
9990,,,21-02-2021 02:44,Ahmedabad,390,COUNTERFEITING,25,M,Knife,Other Crime,7,No,,2021,
9991,,,21-02-2021 01:27,Delhi,319,FIREARM OFFENSE,28,F,Explosives,Fire Accident,11,No,,2021,
9992,,,20-02-2021 12:39,Kolkata,312,ASSAULT,40,F,Firearm,Violent Crime,14,No,,2021,
9993,,,20-02-2021 15:10,Vasai,249,COUNTERFEITING,40,F,Poison,Other Crime,2,No,,2021,
9994,,,21-02-2021 04:31,Varanasi,156,PUBLIC INTOXICATION,27,F,Blunt Object,Other Crime,13,No,,2021,
9995,,,20-02-2021 12:38,Mumbai,596,DRUG OFFENSE,68,M,Explosives,Other Crime,9,No,,2021,
9996,,,20-02-2021 18:20,Mumbai,188,TRAFFIC VIOLATION,39,F,Blunt Object,Traffic Fatality,9,No,,2021,
9997,,,21-02-2021 10:05,Bangalore,389,BURGLARY,69,F,,Other Crime,15,No,,2021,
9998,,,20-02-2021 14:35,Delhi,399,ARSON,19,F,Knife,Fire Accident,8,Yes,2021-03-09,2021,14.0
9999,,,20-02-2021 16:36,Varanasi,241,ARSON,13,F,Explosives,Fire Accident,17,Yes,2021-04-20,2021,57.0
10000,,,20-02-2021 20:13,Bangalore,389,ASSAULT,40,F,Firearm,Violent Crime,2,No,,2021,
10001,,,21-02-2021 05:07,Chennai,187,VANDALISM,30,M,Other,Other Crime,14,No,,2021,
10002,,,20-02-2021 17:29,Bangalore,566,DRUG OFFENSE,68,F,Explosives,Other Crime,9,No,,2021,
10003,,,21-02-2021 07:14,Bangalore,515,ROBBERY,23,F,Knife,Violent Crime,2,Yes,2021-07-12,2021,140.0
10004,,,20-02-2021 21:22,Patna,309,IDENTITY THEFT,60,F,,Violent Crime,2,No,,2021,
10005,,,21-02-2021 11:16,Kolkata,124,VANDALISM,64,F,Knife,Other Crime,12,No,,2021,
10006,,,21-02-2021 20:14,Mumbai,195,HOMICIDE,59,F,,Other Crime,18,Yes,2022-10-20,2021,604.0
10007,,,21-02-2021 06:26,Mumbai,126,PUBLIC INTOXICATION,67,M,,Other Crime,19,No,,2021,
10008,,,21-02-2021 12:06,Ludhiana,483,PUBLIC INTOXICATION,56,M,Explosives,Other Crime,1,No,,2021,
10009,,,21-02-2021 14:21,Ghaziabad,121,HOMICIDE,21,F,,Other Crime,12,Yes,2022-11-15,2021,632.0
10010,,,21-02-2021 18:15,Hyderabad,459,FIREARM OFFENSE,31,F,,Fire Accident,14,No,,2021,
10011,,,22-02-2021 00:53,Pune,276,HOMICIDE,68,F,Blunt Object,Other Crime,19,Yes,2022-11-12,2021,627.0
10012,,,21-02-2021 09:23,Ahmedabad,177,COUNTERFEITING,33,M,Explosives,Other Crime,7,Yes,2021-03-07,2021,13.0
10013,,,21-02-2021 07:40,Mumbai,118,COUNTERFEITING,12,F,Firearm,Other Crime,11,Yes,2021-04-20,2021,56.0
10014,,,21-02-2021 16:04,Indore,402,HOMICIDE,17,F,,Other Crime,11,Yes,2022-02-02,2021,343.0
10015,,,21-02-2021 18:45,Delhi,293,EXTORTION,27,M,Poison,Other Crime,18,Yes,2021-04-05,2021,43.0
10016,,,21-02-2021 08:34,Delhi,489,DOMESTIC VIOLENCE,20,M,Knife,Violent Crime,17,No,,2021,
10017,,,21-02-2021 08:50,Nagpur,528,DRUG OFFENSE,24,M,Explosives,Other Crime,4,No,,2021,
10018,,,21-02-2021 20:37,Bangalore,160,TRAFFIC VIOLATION,66,F,Other,Traffic Fatality,15,Yes,2021-03-07,2021,14.0
10019,,,21-02-2021 20:11,Kalyan,569,VANDALISM,79,M,,Other Crime,1,No,,2021,
10020,,,21-02-2021 19:43,Chennai,550,FRAUD,53,F,Poison,Other Crime,4,Yes,2021-04-02,2021,38.0
10021,,,22-02-2021 02:06,Delhi,422,FRAUD,62,F,,Other Crime,12,Yes,2021-04-06,2021,43.0
10022,,,22-02-2021 02:15,Kolkata,541,TRAFFIC VIOLATION,54,F,Blunt Object,Traffic Fatality,18,Yes,2021-03-03,2021,9.0
10023,,,21-02-2021 19:03,Bangalore,148,FRAUD,42,F,Blunt Object,Other Crime,1,No,,2021,
10024,,,22-02-2021 14:35,Mumbai,368,ROBBERY,44,F,Other,Violent Crime,5,No,,2021,
10025,,,21-02-2021 20:33,Pune,451,VEHICLE - STOLEN,72,M,Poison,Violent Crime,6,Yes,2021-05-11,2021,76.0
10026,,,22-02-2021 10:36,Mumbai,505,SHOPLIFTING,36,M,Knife,Other Crime,4,Yes,2021-05-20,2021,86.0
10027,,,22-02-2021 16:38,Delhi,557,ILLEGAL POSSESSION,40,F,Explosives,Other Crime,7,Yes,2021-05-12,2021,77.0
10028,,,22-02-2021 02:00,Patna,155,ARSON,47,F,Explosives,Fire Accident,14,Yes,2021-04-17,2021,52.0
10029,,,22-02-2021 00:36,Bangalore,180,DOMESTIC VIOLENCE,68,F,Firearm,Violent Crime,11,No,,2021,
10030,,,22-02-2021 12:45,Kolkata,236,IDENTITY THEFT,39,F,Firearm,Violent Crime,4,Yes,2021-03-19,2021,23.0
10031,,,22-02-2021 10:27,Varanasi,344,EXTORTION,45,F,Blunt Object,Other Crime,3,Yes,2021-04-26,2021,62.0
10032,,,22-02-2021 04:58,Delhi,169,COUNTERFEITING,71,M,Firearm,Other Crime,5,No,,2021,
10033,,,22-02-2021 23:10,Mumbai,155,ILLEGAL POSSESSION,26,M,Firearm,Other Crime,10,Yes,2021-03-18,2021,22.0
10034,,,22-02-2021 07:39,Mumbai,557,SHOPLIFTING,37,F,Poison,Other Crime,14,Yes,2021-03-14,2021,19.0
10035,,,22-02-2021 16:34,Hyderabad,472,EXTORTION,15,F,,Other Crime,9,Yes,2021-04-27,2021,63.0
10036,,,23-02-2021 02:09,Hyderabad,291,BURGLARY,17,F,Explosives,Other Crime,12,Yes,2021-05-13,2021,80.0
10037,,,23-02-2021 00:05,Mumbai,116,COUNTERFEITING,21,M,Explosives,Other Crime,17,Yes,2021-04-10,2021,47.0
10038,,,22-02-2021 06:32,Pune,393,VEHICLE - STOLEN,74,F,,Violent Crime,18,Yes,2021-05-14,2021,78.0
10039,,,22-02-2021 19:20,Chennai,456,VEHICLE - STOLEN,25,M,Poison,Violent Crime,10,No,,2021,
10040,,,22-02-2021 12:24,Ludhiana,372,VANDALISM,50,F,,Other Crime,2,Yes,2021-04-20,2021,56.0
10041,,,23-02-2021 05:39,Ahmedabad,253,ILLEGAL POSSESSION,16,F,Knife,Other Crime,15,Yes,2021-03-13,2021,18.0
10042,,,23-02-2021 04:11,Kolkata,561,VANDALISM,10,F,Firearm,Other Crime,6,Yes,2021-04-26,2021,62.0
10043,,,22-02-2021 10:23,Visakhapatnam,345,CYBERCRIME,16,F,,Other Crime,12,Yes,2021-05-20,2021,87.0
10044,,,22-02-2021 22:36,Mumbai,501,PUBLIC INTOXICATION,12,F,Blunt Object,Other Crime,18,No,,2021,
10045,,,22-02-2021 12:46,Bangalore,367,KIDNAPPING,45,F,,Other Crime,7,Yes,2021-05-25,2021,89.0
10046,,,23-02-2021 03:18,Indore,434,DRUG OFFENSE,49,F,Blunt Object,Other Crime,13,No,,2021,
10047,,,22-02-2021 14:21,Kanpur,459,HOMICIDE,65,F,Poison,Other Crime,7,No,,2021,
10048,,,22-02-2021 20:43,Ludhiana,461,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,1,Yes,2021-03-11,2021,16.0
10049,,,23-02-2021 15:04,Mumbai,247,IDENTITY THEFT,64,F,Other,Violent Crime,19,Yes,2021-05-04,2021,69.0
10050,,,23-02-2021 10:24,Kolkata,343,VANDALISM,78,F,Explosives,Other Crime,7,No,,2021,
10051,,,23-02-2021 01:37,Delhi,208,KIDNAPPING,38,F,Other,Other Crime,10,Yes,2021-03-24,2021,27.0
10052,,,23-02-2021 06:37,Agra,253,VANDALISM,11,M,Firearm,Other Crime,11,No,,2021,
10053,,,22-02-2021 23:54,Ahmedabad,544,DRUG OFFENSE,55,F,Other,Other Crime,8,Yes,2021-05-02,2021,66.0
10054,,,23-02-2021 05:57,Indore,150,FIREARM OFFENSE,58,M,Firearm,Fire Accident,2,No,,2021,
10055,,,23-02-2021 11:22,Delhi,328,ASSAULT,10,F,,Violent Crime,13,No,,2021,
10056,,,22-02-2021 23:31,Nagpur,307,ASSAULT,58,M,Firearm,Violent Crime,4,Yes,2021-04-03,2021,39.0
10057,,,23-02-2021 00:19,Ahmedabad,121,HOMICIDE,30,F,Firearm,Other Crime,6,No,,2021,
10058,,,23-02-2021 18:08,Surat,298,DRUG OFFENSE,65,F,Other,Other Crime,19,Yes,2021-05-06,2021,70.0
10059,,,23-02-2021 11:38,Vasai,524,COUNTERFEITING,39,F,Firearm,Other Crime,10,No,,2021,
10060,,,23-02-2021 16:30,Mumbai,576,CYBERCRIME,68,M,Other,Other Crime,10,Yes,2021-05-12,2021,76.0
10061,,,23-02-2021 10:19,Jaipur,485,TRAFFIC VIOLATION,59,M,,Traffic Fatality,16,Yes,2021-03-16,2021,21.0
10062,,,24-02-2021 01:29,Nashik,157,ASSAULT,22,F,Blunt Object,Violent Crime,12,Yes,2021-04-02,2021,38.0
10063,,,23-02-2021 20:54,Mumbai,344,SEXUAL ASSAULT,11,M,Other,Violent Crime,3,Yes,2022-03-14,2021,381.0
10064,,,23-02-2021 22:49,Mumbai,493,DRUG OFFENSE,40,M,Explosives,Other Crime,14,Yes,2021-04-20,2021,54.0
10065,,,23-02-2021 11:22,Ahmedabad,391,VANDALISM,56,M,Blunt Object,Other Crime,15,No,,2021,
10066,,,23-02-2021 16:21,Ahmedabad,313,ARSON,28,M,Explosives,Fire Accident,13,No,,2021,
10067,,,23-02-2021 20:27,Surat,252,HOMICIDE,24,F,Blunt Object,Other Crime,11,Yes,2022-02-16,2021,355.0
10068,,,24-02-2021 01:58,Bangalore,154,PUBLIC INTOXICATION,39,F,Knife,Other Crime,10,No,,2021,
10069,,,23-02-2021 20:54,Nagpur,488,DOMESTIC VIOLENCE,30,F,Firearm,Violent Crime,13,Yes,2021-03-23,2021,27.0
10070,,,23-02-2021 13:40,Bangalore,205,FRAUD,37,F,,Other Crime,19,Yes,2021-04-10,2021,43.0
10071,,,23-02-2021 22:28,Hyderabad,171,ARSON,78,F,Knife,Fire Accident,11,No,,2021,
10072,,,24-02-2021 02:57,Delhi,585,BURGLARY,65,M,Knife,Other Crime,12,Yes,2021-07-19,2021,143.0
10073,,,24-02-2021 09:27,Mumbai,551,DRUG OFFENSE,56,F,Knife,Other Crime,7,No,,2021,
10074,,,24-02-2021 15:54,Kolkata,508,ROBBERY,40,F,Explosives,Violent Crime,12,Yes,2021-06-29,2021,124.0
10075,,,24-02-2021 05:06,Chennai,198,PUBLIC INTOXICATION,22,M,Firearm,Other Crime,5,No,,2021,
10076,,,24-02-2021 06:48,Patna,585,PUBLIC INTOXICATION,78,F,Blunt Object,Other Crime,17,Yes,2021-02-26,2021,1.0
10077,,,24-02-2021 14:07,Kolkata,586,FIREARM OFFENSE,15,F,,Fire Accident,17,No,,2021,
10078,,,24-02-2021 11:06,Bangalore,326,ROBBERY,43,F,Other,Violent Crime,13,Yes,2021-06-25,2021,119.0
10079,,,24-02-2021 00:44,Ludhiana,136,VANDALISM,55,F,Explosives,Other Crime,11,Yes,2021-04-13,2021,46.0
10080,,,24-02-2021 20:48,Nagpur,272,DOMESTIC VIOLENCE,79,M,,Violent Crime,19,Yes,2021-03-16,2021,20.0
10081,,,24-02-2021 05:23,Delhi,475,KIDNAPPING,60,M,Firearm,Other Crime,13,Yes,2021-05-03,2021,67.0
10082,,,24-02-2021 14:04,Bangalore,274,DOMESTIC VIOLENCE,63,M,Poison,Violent Crime,14,Yes,2021-04-27,2021,61.0
10083,,,24-02-2021 02:02,Mumbai,452,ILLEGAL POSSESSION,22,F,Other,Other Crime,1,No,,2021,
10084,,,24-02-2021 19:05,Mumbai,470,SEXUAL ASSAULT,55,F,,Violent Crime,1,No,,2021,
10085,,,24-02-2021 22:11,Chennai,539,ARSON,58,M,,Fire Accident,12,Yes,2021-05-14,2021,77.0
10086,,,24-02-2021 07:58,Bhopal,362,VANDALISM,14,F,Blunt Object,Other Crime,11,Yes,2021-03-14,2021,17.0
10087,,,24-02-2021 06:20,Bhopal,212,DOMESTIC VIOLENCE,36,F,Explosives,Violent Crime,3,Yes,2021-03-10,2021,14.0
10088,,,24-02-2021 12:01,Mumbai,343,ARSON,60,M,Knife,Fire Accident,14,No,,2021,
10089,,,25-02-2021 04:21,Mumbai,351,VANDALISM,53,F,,Other Crime,8,No,,2021,
10090,,,25-02-2021 00:29,Chennai,154,SEXUAL ASSAULT,38,F,Blunt Object,Violent Crime,15,Yes,2021-09-16,2021,202.0
10091,,,24-02-2021 20:29,Lucknow,314,ARSON,20,M,Poison,Fire Accident,9,No,,2021,
10092,,,24-02-2021 16:09,Indore,217,DRUG OFFENSE,23,F,,Other Crime,7,Yes,2021-03-10,2021,13.0
10093,,,25-02-2021 09:46,Delhi,486,IDENTITY THEFT,65,M,,Violent Crime,5,No,,2021,
10094,,,24-02-2021 14:41,Ahmedabad,490,KIDNAPPING,72,M,Firearm,Other Crime,3,Yes,2021-04-29,2021,61.0
10095,,,24-02-2021 20:50,Ludhiana,445,FIREARM OFFENSE,17,F,Knife,Fire Accident,18,Yes,2021-03-10,2021,12.0
10096,,,24-02-2021 22:07,Bangalore,188,EXTORTION,46,F,Poison,Other Crime,19,No,,2021,
10097,,,24-02-2021 16:35,Mumbai,405,VANDALISM,62,F,,Other Crime,14,No,,2021,
10098,,,25-02-2021 05:18,Hyderabad,118,PUBLIC INTOXICATION,38,F,Other,Other Crime,4,No,,2021,
10099,,,24-02-2021 19:55,Kolkata,239,VANDALISM,17,F,Knife,Other Crime,14,No,,2021,
10100,,,24-02-2021 22:54,Delhi,111,HOMICIDE,50,M,Knife,Other Crime,15,No,,2021,
10101,,,25-02-2021 02:26,Ahmedabad,453,VEHICLE - STOLEN,22,F,Knife,Violent Crime,4,Yes,2021-03-31,2021,34.0
10102,,,25-02-2021 03:39,Hyderabad,417,KIDNAPPING,29,F,,Other Crime,6,Yes,2021-04-19,2021,52.0
10103,,,25-02-2021 13:40,Mumbai,106,IDENTITY THEFT,16,F,Explosives,Violent Crime,17,Yes,2021-03-20,2021,23.0
10104,,,25-02-2021 00:20,Ahmedabad,153,KIDNAPPING,29,M,Explosives,Other Crime,10,Yes,2021-05-04,2021,66.0
10105,,,25-02-2021 01:31,Jaipur,195,KIDNAPPING,23,M,Knife,Other Crime,10,No,,2021,
10106,,,25-02-2021 03:27,Hyderabad,382,VANDALISM,41,F,Other,Other Crime,2,Yes,2021-03-20,2021,22.0
10107,,,25-02-2021 04:19,Delhi,193,CYBERCRIME,79,F,,Other Crime,19,Yes,2021-05-24,2021,86.0
10108,,,25-02-2021 17:20,Delhi,273,ILLEGAL POSSESSION,67,F,,Other Crime,4,No,,2021,
10109,,,25-02-2021 17:18,Hyderabad,134,EXTORTION,66,F,Poison,Other Crime,8,Yes,2021-04-13,2021,45.0
10110,,,25-02-2021 21:42,Kolkata,564,KIDNAPPING,17,M,Poison,Other Crime,15,Yes,2021-04-16,2021,50.0
10111,,,26-02-2021 05:45,Indore,481,FIREARM OFFENSE,15,M,Blunt Object,Fire Accident,11,No,,2021,
10112,,,25-02-2021 20:04,Hyderabad,312,KIDNAPPING,10,F,Other,Other Crime,14,Yes,2021-03-19,2021,20.0
10113,,,26-02-2021 06:42,Mumbai,480,FIREARM OFFENSE,49,M,Firearm,Fire Accident,9,No,,2021,
10114,,,26-02-2021 05:26,Kolkata,161,PUBLIC INTOXICATION,63,M,Other,Other Crime,18,Yes,2021-03-01,2021,3.0
10115,,,25-02-2021 21:26,Ahmedabad,510,PUBLIC INTOXICATION,25,F,Poison,Other Crime,13,Yes,2021-03-23,2021,24.0
10116,,,26-02-2021 06:06,Hyderabad,395,VANDALISM,74,M,Knife,Other Crime,2,Yes,2021-04-22,2021,55.0
10117,,,26-02-2021 10:30,Pune,226,KIDNAPPING,26,F,Firearm,Other Crime,14,Yes,2021-03-19,2021,20.0
10118,,,26-02-2021 00:33,Pune,253,SEXUAL ASSAULT,45,F,Explosives,Violent Crime,8,Yes,2021-09-01,2021,188.0
10119,,,26-02-2021 12:58,Visakhapatnam,367,TRAFFIC VIOLATION,49,M,Poison,Traffic Fatality,3,No,,2021,
10120,,,26-02-2021 08:34,Patna,598,HOMICIDE,19,F,Other,Other Crime,1,Yes,2021-11-14,2021,261.0
10121,,,25-02-2021 23:37,Jaipur,463,ARSON,60,F,Knife,Fire Accident,6,Yes,2021-04-15,2021,47.0
10122,,,26-02-2021 06:56,Bangalore,581,FIREARM OFFENSE,74,F,Other,Fire Accident,2,No,,2021,
10123,,,26-02-2021 06:15,Agra,550,ILLEGAL POSSESSION,33,F,Poison,Other Crime,8,No,,2021,
10124,,,26-02-2021 00:37,Hyderabad,182,SHOPLIFTING,46,F,Poison,Other Crime,16,No,,2021,
10125,,,26-02-2021 10:54,Ahmedabad,301,VANDALISM,78,M,Explosives,Other Crime,2,No,,2021,
10126,,,26-02-2021 19:43,Bangalore,569,BURGLARY,62,M,Firearm,Other Crime,13,Yes,2021-05-02,2021,66.0
10127,,,26-02-2021 08:20,Delhi,281,COUNTERFEITING,23,M,Firearm,Other Crime,19,No,,2021,
10128,,,26-02-2021 03:54,Surat,598,BURGLARY,38,M,Firearm,Other Crime,15,No,,2021,
10129,,,26-02-2021 14:33,Hyderabad,256,HOMICIDE,75,M,,Other Crime,11,Yes,2022-01-05,2021,313.0
10130,,,26-02-2021 13:06,Chennai,419,ILLEGAL POSSESSION,56,M,Poison,Other Crime,6,Yes,2021-03-16,2021,18.0
10131,,,26-02-2021 18:15,Hyderabad,136,KIDNAPPING,74,M,Explosives,Other Crime,2,No,,2021,
10132,,,26-02-2021 09:45,Bangalore,290,DRUG OFFENSE,21,M,Knife,Other Crime,3,No,,2021,
10133,,,26-02-2021 06:54,Hyderabad,167,ARSON,34,F,Other,Fire Accident,16,Yes,2021-03-16,2021,17.0
10134,,,26-02-2021 07:17,Surat,388,VANDALISM,59,F,Blunt Object,Other Crime,14,No,,2021,
10135,,,26-02-2021 10:49,Pune,558,EXTORTION,54,M,Blunt Object,Other Crime,16,No,,2021,
10136,,,26-02-2021 08:14,Ludhiana,126,HOMICIDE,58,F,Explosives,Other Crime,7,Yes,2023-01-29,2021,702.0
10137,,,26-02-2021 20:54,Bhopal,129,PUBLIC INTOXICATION,75,M,Explosives,Other Crime,7,Yes,2021-03-28,2021,29.0
10138,,,26-02-2021 15:13,Bangalore,152,CYBERCRIME,42,M,Blunt Object,Other Crime,11,No,,2021,
10139,,,26-02-2021 12:31,Visakhapatnam,593,VEHICLE - STOLEN,11,M,,Violent Crime,12,No,,2021,
10140,,,26-02-2021 11:01,Kolkata,414,ASSAULT,49,F,,Violent Crime,16,No,,2021,
10141,2021-01-03,,26-02-2021 21:41,Hyderabad,336,DOMESTIC VIOLENCE,54,F,Blunt Object,Violent Crime,16,Yes,2021-05-18,2021,78.0
10142,,,26-02-2021 14:35,Delhi,517,DRUG OFFENSE,50,M,Explosives,Other Crime,12,Yes,2021-03-22,2021,22.0
10143,,,27-02-2021 08:42,Delhi,114,HOMICIDE,27,F,Explosives,Other Crime,12,No,,2021,
10144,,,26-02-2021 15:10,Delhi,397,SEXUAL ASSAULT,76,M,Blunt Object,Violent Crime,4,Yes,2022-06-04,2021,462.0
10145,,,27-02-2021 09:22,Agra,330,SHOPLIFTING,46,F,,Other Crime,14,No,,2021,
10146,,,27-02-2021 06:25,Hyderabad,493,DOMESTIC VIOLENCE,35,M,Explosives,Violent Crime,2,No,,2021,
10147,,,27-02-2021 11:37,Chennai,511,KIDNAPPING,44,M,Knife,Other Crime,1,No,,2021,
10148,2021-01-03,,27-02-2021 10:40,Chennai,466,ARSON,40,F,,Fire Accident,11,Yes,2021-04-07,2021,37.0
10149,,,27-02-2021 19:20,Patna,356,ARSON,11,M,Poison,Fire Accident,12,No,,2021,
10150,,,27-02-2021 04:13,Srinagar,209,IDENTITY THEFT,77,M,Other,Violent Crime,2,No,,2021,
10151,,,27-02-2021 05:01,Lucknow,289,COUNTERFEITING,28,M,Blunt Object,Other Crime,13,Yes,2021-03-07,2021,7.0
10152,2021-01-03,,27-02-2021 13:21,Varanasi,498,VANDALISM,46,F,Blunt Object,Other Crime,18,Yes,2021-05-04,2021,64.0
10153,2021-01-03,,27-02-2021 03:22,Ludhiana,129,PUBLIC INTOXICATION,46,M,Poison,Other Crime,4,Yes,2021-03-30,2021,29.0
10154,2021-01-03,,27-02-2021 08:09,Meerut,252,BURGLARY,12,M,Blunt Object,Other Crime,4,Yes,2021-05-13,2021,73.0
10155,,,27-02-2021 18:49,Bangalore,189,ILLEGAL POSSESSION,43,F,Blunt Object,Other Crime,19,Yes,2021-05-27,2021,88.0
10156,2021-01-03,,27-02-2021 06:21,Pune,432,EXTORTION,18,F,Knife,Other Crime,5,Yes,2021-05-09,2021,69.0
10157,,,27-02-2021 07:43,Delhi,550,DOMESTIC VIOLENCE,18,F,Other,Violent Crime,9,Yes,2021-03-09,2021,10.0
10158,2021-01-03,,28-02-2021 02:33,Hyderabad,139,DOMESTIC VIOLENCE,10,F,Explosives,Violent Crime,6,Yes,2021-03-22,2021,21.0
10159,,,27-02-2021 21:56,Kolkata,278,VANDALISM,11,F,Explosives,Other Crime,18,No,,2021,
10160,,,27-02-2021 20:46,Bangalore,181,SHOPLIFTING,42,F,Knife,Other Crime,16,Yes,2021-03-27,2021,27.0
10161,2021-01-03,,28-02-2021 07:39,Jaipur,225,EXTORTION,20,F,Poison,Other Crime,8,Yes,2021-05-13,2021,73.0
10162,,,27-02-2021 20:26,Delhi,478,ARSON,57,F,Blunt Object,Fire Accident,15,Yes,2021-05-25,2021,86.0
10163,2021-02-03,,27-02-2021 19:54,Chennai,537,BURGLARY,39,M,Poison,Other Crime,2,No,,2021,
10164,2021-02-03,,28-02-2021 00:48,Ahmedabad,426,TRAFFIC VIOLATION,59,F,Poison,Traffic Fatality,18,No,,2021,
10165,,,27-02-2021 21:42,Vasai,504,COUNTERFEITING,15,F,Firearm,Other Crime,1,Yes,2021-03-23,2021,24.0
10166,2021-02-03,,28-02-2021 01:30,Thane,321,VANDALISM,45,F,Explosives,Other Crime,19,Yes,2021-04-23,2021,52.0
10167,2021-01-03,,27-02-2021 23:22,Lucknow,502,SEXUAL ASSAULT,37,M,Firearm,Violent Crime,17,Yes,2022-05-01,2021,426.0
10168,,,28-02-2021 05:50,Meerut,221,ROBBERY,73,M,Other,Violent Crime,7,Yes,2021-06-11,2021,104.0
10169,2021-01-03,,28-02-2021 08:32,Thane,140,PUBLIC INTOXICATION,14,F,Poison,Other Crime,5,No,,2021,
10170,,,27-02-2021 18:59,Bangalore,288,EXTORTION,75,F,Poison,Other Crime,15,No,,2021,
10171,,,27-02-2021 22:35,Kolkata,204,EXTORTION,63,M,Blunt Object,Other Crime,14,No,,2021,
10172,,,28-02-2021 18:31,Chennai,517,FRAUD,79,M,,Other Crime,14,No,,2021,
10173,2021-02-03,,28-02-2021 19:01,Chennai,411,ROBBERY,15,F,Knife,Violent Crime,4,Yes,2021-07-11,2021,131.0
10174,,,27-02-2021 21:05,Rajkot,196,SHOPLIFTING,67,F,Explosives,Other Crime,19,No,,2021,
10175,2021-01-03,,27-02-2021 23:02,Ludhiana,481,CYBERCRIME,77,M,Firearm,Other Crime,10,No,,2021,
10176,2021-02-03,,28-02-2021 09:59,Thane,405,KIDNAPPING,21,F,Blunt Object,Other Crime,11,No,,2021,
10177,,,28-02-2021 19:57,Hyderabad,527,ROBBERY,52,F,Poison,Violent Crime,7,Yes,2021-08-19,2021,172.0
10178,,,28-02-2021 14:46,Jaipur,302,KIDNAPPING,33,F,,Other Crime,6,No,,2021,
10179,,,28-02-2021 07:42,Patna,502,HOMICIDE,66,F,Knife,Other Crime,8,No,,2021,
10180,,,28-02-2021 06:31,Bangalore,495,ILLEGAL POSSESSION,28,F,Firearm,Other Crime,9,No,,2021,
10181,2021-02-03,,28-02-2021 09:10,Hyderabad,278,TRAFFIC VIOLATION,70,F,,Traffic Fatality,15,No,,2021,
10182,2021-02-03,,28-02-2021 10:48,Kolkata,242,VEHICLE - STOLEN,51,F,,Violent Crime,13,Yes,2021-04-16,2021,45.0
10183,2021-01-03,,28-02-2021 07:19,Varanasi,252,ROBBERY,30,M,Other,Violent Crime,5,No,,2021,
10184,2021-02-03,,28-02-2021 12:51,Hyderabad,584,VEHICLE - STOLEN,28,F,Blunt Object,Violent Crime,13,Yes,2021-04-15,2021,44.0
10185,,,01-03-2021 07:54,Chennai,396,IDENTITY THEFT,59,M,Firearm,Violent Crime,8,No,,2021,
10186,2021-01-03,,28-02-2021 23:29,Kolkata,548,PUBLIC INTOXICATION,39,M,Blunt Object,Other Crime,8,No,,2021,
10187,2021-01-03,,28-02-2021 10:28,Kolkata,375,CYBERCRIME,26,F,Firearm,Other Crime,6,No,,2021,
10188,,,28-02-2021 23:41,Delhi,123,ILLEGAL POSSESSION,62,F,,Other Crime,16,No,,2021,
10189,,,01-03-2021 01:42,Ludhiana,499,VANDALISM,41,F,Explosives,Other Crime,1,No,,2021,
10190,2021-01-03,,01-03-2021 04:25,Mumbai,518,KIDNAPPING,38,F,Blunt Object,Other Crime,4,Yes,2021-04-17,2021,47.0
